"High Performance Python","2021/01/19,2021/01/20,2021/01/21","https://cal.lib.virginia.edu/event/7403863","Katherine Holcomb"
"Introduction to Shiny","2021-06-04","https://cal.lib.virginia.edu/event/7405869","Christina Gancayco"
"Parallel Matlab I","2021-02-05","https://cal.lib.virginia.edu/event/7405744","Ed Hall"
"Customizing Shiny Apps","2021-02-11","https://cal.lib.virginia.edu/event/7405875","Christina Gancayco"
"Parallel Matlab II","2021-02-12","https://cal.lib.virginia.edu/event/7405745","Ed Hall"
"Optimizing R Code","2021-02-12","https://cal.hsl.virginia.edu/event/7374945","Jacalyn Huband"
"Building Containers for Rivanna","2021-02-18","https://cal.lib.virginia.edu/event/7404771","Ruoshi Sun"
"Optimizing Matlab Code","2021-02-19","https://cal.lib.virginia.edu/event/7405853","Ed Hall"
"Minimal Containers","2021-02-25","https://cal.lib.virginia.edu/event/7405203","Ruoshi Sun"
"Biopython","2021-02-25","https://cal.hsl.virginia.edu/event/7375022","Karsten Siller"
"Using Bioinformatics tools on Rivanna","2021-03-16","https://cal.hsl.virginia.edu/event/7374868","Gladys Andino"
"Parallelizing R","2021-03-12","https://cal.lib.virginia.edu/event/7403936","Jacalyn Huband"
"R with MPI","2021-04-09","https://cal.lib.virginia.edu/event/7404438","Jacalyn Huband"
"Introduction to Python","2021-06-02,2021-06-03","https://cal.lib.virginia.edu/event/7754751","Katherine Holcomb, Erich Purpur, Karsten Siller"
"Introduction to Fortran","2021/06/09","https://cal.lib.virginia.edu/event/7751972","Katherine Holcomb, Ruoshi Sun"
"Introduction to C++","2021/06/09","https://cal.lib.virginia.edu/event/7754536","Katherine Holcomb, Ruoshi Sun"
"Introduction to MPI Part 1","2021/06/16","https://cal.lib.virginia.edu/event/7754562","Katherine Holcomb, Ruoshi Sun"
"Introduction to MPI Part 2","2021/06/16","https://cal.lib.virginia.edu/event/7754575","Katherine Holcomb, Ruoshi Sun"
"Introduction to OpenMP and GPU programming","2021/06/11","https://cal.lib.virginia.edu/event/7754623","Katherine Holcomb, Ruoshi Sun"
"Machine Learning with Python","2021/06/23","https://cal.hsl.virginia.edu/event/7750392","Jacalyn Huband, Will Rosenow"
"Introduction to Shiny","2021/06/30","https://cal.hsl.virginia.edu/event/7750410","Christina Gancayco"
